run,active,drive_voltage,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47
Z0,offset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,E0,5.038,1.424,0.2915,0.0926,0.0433,0.024,0.0103,0.0066,0.0024,0.67732,0.379,0.1664,0.0864,0.0453,0.0241,0.0123,0.0058,0.3272,0.2505,0.1545,0.0944,0.0508,0.0297,0.0146,0.0073,0.149,0.164,0.119,0.0713,0.0474,0.0281,0.01521,0.0073,0.0761,0.0896,0.0743,0.0512,0.035,0.021,0.012,0.0055,0.0325,0.0368,0.0321,0.0228,0.013,0.0106,0.0065,0.0035
A1,E1,5.017,1.513,1.595,0.3801,0.1333,0.067,0.0294,0.0163,0.0053,0.8569,0.873,0.482,0.2276,0.1195,0.0625,0.0302,0.0141,0.4667,0.4839,0.3789,0.2299,0.1269,0.0761,0.0387,0.0172,0.2483,0.2578,0.252,0.1734,0.1104,0.0665,0.0371,0.0175,0.1274,0.1232,0.1511,0.096,0.0778,0.0476,0.0288,0.0134,0.0574,0.068,0.0634,0.0489,0.0375,0.0255,0.015,0.0079
A2,E2,5.02,0.3374,1.61,1.5,0.3502,0.1507,0.0513,0.0207,0.0105,0.4385,0.7534,0.7852,0.4402,0.2308,0.1135,0.0534,0.0253,0.3194,0.4958,0.5167,0.3738,0.2241,0.1267,0.0592,0.0304,0.196,0.2906,0.3065,0.2524,0.1712,0.1092,0.0595,0.0306,0.1168,0.1727,0.1783,0.1535,0.1157,0.0749,0.0457,0.0228,0.054,0.076,0.0785,0.0657,0.0509,0.0359,0.0241,0.0128
A3,E3,5.02,0.1234,0.3555,1.187,2.194,0.4402,0.2096,0.0951,0.0349,0.2318,0.5745,1.083,1.15,0.7345,0.3756,0.1762,0.0759,0.2148,0.4266,0.675,0.737,0.5653,0.3509,0.1819,0.0871,0.1775,0.3178,0.426,0.4434,0.3749,0.2623,0.1495,0.0778,0.1228,0.1892,0.2478,0.2638,0.2289,0.1683,0.1008,0.0532,0.0599,0.0933,0.112,0.1046,0.0962,0.0769,0.0554,0.0292
A12,E12,5.021,0.0034,0.0068,0.0137,0.0337,0.0635,0.1233,0.3473,0.798,0.0091,0.0194,0.036,0.069,0.125,0.2586,0.544,1.247,0.0098,0.0251,0.0474,0.0811,0.1458,0.2548,0.3923,0.6628,0.0121,0.0252,0.0428,0.072,0.1261,0.1975,0.2705,0.2946,0.0105,0.019,0.0314,0.0588,0.0872,0.11,0.1523,0.127,0.0056,0.0106,0.0177,0.028,0.0427,0.0593,0.063,0.054
A13,E13,5.018,0.0053,0.0095,0.02,0.0425,0.0744,0.1053,0.2211,0.2259,0.0126,0.025,0.0483,0.0793,0.1545,0.2408,0.47,0.8766,0.015,0.0345,0.059,0.1113,0.1905,0.3349,0.6087,1.074,0.0174,0.0349,0.0626,0.1081,0.1825,0.3125,0.5333,0.8684,0.0141,0.0274,0.0475,0.0821,0.1325,0.213,0.3205,0.3583,0.0092,0.0156,0.0252,0.0435,0.0666,0.11,0.136,0.1372
A14,E14,5.018,0.0061,0.0118,0.0236,0.047,0.0685,0.0855,0.1497,0.104,0.016,0.0306,0.0563,0.094,0.1528,0.2301,0.3288,0.3608,0.0203,0.0425,0.0783,0.1363,0.2271,0.3583,0.5851,0.8795,0.0243,0.0488,0.0843,0.1466,0.2583,0.439,0.818,1.553,0.0196,0.0412,0.0753,0.1223,0.2156,0.3803,0.7543,1.399,0.0136,0.0234,0.0416,0.0636,0.1154,0.2248,0.4359,0.6056
A15,E15,5.019,0.004,0.0069,0.0123,0.0223,0.0298,0.039,0.049,0.0243,0.0097,0.0179,0.0342,0.0506,0.0769,0.1028,0.1136,0.098,0.0132,0.0263,0.0477,0.0779,0.1185,0.1728,0.2198,0.215,0.016,0.031,0.0518,0.0902,0.1566,0.2506,0.4066,0.4316,0.014,0.0278,0.0487,0.0571,0.1553,0.2663,0.5178,1.032,0.0123,0.0191,0.0312,0.0578,0.1263,0.2533,0.5156,1.283
T_E2_E13,E2+E13,5.0195,0.3535,1.508,1.412,0.4025,0.2412,0.2097,0.2863,0.2323,0.4773,0.9816,0.9216,0.6039,0.469,0.4809,0.6265,0.955,0.3439,0.5529,0.6403,0.5766,0.5412,0.626,0.8956,1.431,0.2186,0.3601,0.4363,0.4474,0.5062,0.6727,0.7122,1.083,0.134,0.2235,0.2588,0.3433,0.4209,0.5688,0.8819,0.4892,0.0733,0.1126,0.1308,0.1555,0.242,0.3808,0.234,0.1823
